ID,Name,Glottocode,Glottolog_Name,ISO639P3code,Macroarea,Latitude,Longitude,Family
Adnyamathanha,Adnyamathanha,adny1235,Adnyamathanha,adt,Australia,-30.1451,138.671,Pama-Nyungan
AghuTharnggala,AghuTharnggala,aghu1254,Aghu Tharnggalu,ggr,Australia,-13.735,142.426,Pama-Nyungan
Alyawarr,Alyawarr,alya1239,Alyawarr,aly,Australia,-21.0427,136.835,Pama-Nyungan
Antekerrepenh,Antekerrepenh,ande1247,Andegerebinha,adg,Australia,-22.51278,137.3515,Pama-Nyungan
Arabana,Arabana,arab1267,Arabana,ard,Australia,-28.705,135.449,Pama-Nyungan
Awabakal,Awabakal,awab1243,Awabakal,awk,Australia,-33.12847,151.43555,Pama-Nyungan
Ayapathu,Ayapathu,ayab1239,Yintyinka-Ayabadhu,ayd,Australia,-14.6652,142.893,Pama-Nyungan
Badimaya,Badimaya,badi1246,Badimaya,bia,Australia,-29.0647,117.246,Pama-Nyungan
Badjiri,Badjiri,badj1244,Badjiri,jbi,Australia,-27.33,143.0,Pama-Nyungan
Bandjalang,Bandjalang,band1358,Bandjalang,,,,,Pama-Nyungan
BarrowPoint,BarrowPoint,barr1247,Barrow Point,bpt,Australia,-14.1219,144.531,Pama-Nyungan
Batyala,Batyala,baty1234,Batyala,xby,Australia,,,Pama-Nyungan
BidjaraGungabula,BidjaraGungabula,sout2765,Southern Maric,,,,,Pama-Nyungan
Bilinarra,Bilinarra,bili1250,Bilinarra,,Australia,-16.868771,130.533991,Pama-Nyungan
Biri,Biri,biri1256,Biri,bzr,Australia,-20.1494,146.67,Pama-Nyungan
Birrpayi,Birrpayi,birr1241,Birrpayi,xbj,Australia,,,Pama-Nyungan
Bularnu,Bularnu,bula1255,Bularnu,,Australia,-21.02656922,138.1566659,Pama-Nyungan
Coobenpil,Coobenpil,yaga1256,Yagara-Jandai,,Australia,-27.87647555,152.4602773,Pama-Nyungan
Coonambella,Coonambella,wulg1239,Wulguru,qgu,Australia,-19.85103121,146.3453957,Pama-Nyungan
Darkinyung,Darkinyung,hawk1239,Hawkesbury,xda,Australia,-33.11470744,150.4952383,Pama-Nyungan
Dhangu,Dhangu,dhan1270,Dhangu,dhg,Australia,-11.9493,135.752,Pama-Nyungan
Dharawal,Dharawal,thur1254,Thurawal,tbh,Australia,-35.2853,147.475,Pama-Nyungan
Dharuk,Dharuk,sydn1236,Sydney,xdk,Australia,-33.52925837,150.3490464,Pama-Nyungan
Dharumbal,Dharumbal,dhar1248,Dharumbal,xgm,Australia,-23.307,150.593,Pama-Nyungan
