B&A,subgroup,language,black,white,red,yellow,green,blue,brown,grey,orange,
y,ThuraYura,Adnyamathanha,maRu,upa ,yalthatyi,arkutinyi yaliwarrunha ,aRarra virta-i-,unarru,yaliwarrunha ,arru,,
y,Paman,AghuTharnggala,lcur,naynh,,,,,,,,
y,Arandic,Alyawarr,"errpurl, rrpwerl, irrpwerl; amwak ",rntralker,rnterernter,arrkit,atherrk-atherrk,,,,,
y,Arandic,Antekerrepenh,"urrpwerl, urrperl",arlter,atyetyek,,,,,,,
y,Karnic,Arabana ,"pirla, waka",warru,"miRaka, pitjirrinha",miRaka,ngaljuRu,ngaljuRu,,,,
y,Yuin-Kuri,Awabakal,naru,barul,garil,,girul,,,,,
,Paman,Ayapathu,ngoton,pach,chokerre,,,,,,,
y,Kartu,Badimaya,mawurdu,biluny,binma,,guwiyarlarra,,,,,
,Karnic,Badjiri,garagara,budhabudha,gudhigudhi,,,,,,,
y,Bandjalangic,Bandjalang ,"duhndun Y, nyagu, jagabar","dalahn Y,G,C, deber W,C","gudhihn G, gudhihyn W,We, gudhihny",widhagaŋ,,,,,,
,Paman,BarrowPoint,ngulnggu:nh,"mangi:r, warrba:rr",umburrul,,ngulngkungulngkun ~ ululngkun,"urnggu:nh, ngulngkungulngkun ~ ululngkun",,urrba:lnganh,,
y,Waka Kabi,Batyala,dagil,kak’kal ,gooding,,,,,dhauwa-dhauwul,,
y,Maric,BidjaraGungabula,midhamidha,budhabudha,gudhigudhi,gudhirri,,,dhigara,thanpartthanpart,,
y,NgY E,Bilinarra,ngumbung,wargi,"gigig, win.gilyang ",,wurrgal,,,,,
y,Maric,Biri,gura,budya,"diga, kuma ",bagari,burba,,,bingara,,
y,Yuin-Kuri,Birrpayi,"butjung, guraa, gurrul","barang, bura, watuun","baril, barrang, ganggarr, naruburabu","baril, bilin, bukaruraru",marang warang,,duurung,dhinggarr,,
y,Warluwaric,Bularnu,bupugabupuga,burna,yalathalatha,gudhuludhulu,yuwaliwali,,,nyudurru,,
,Durubulic,Coobenpil,goorooin,boopa,cowan,,,,,,,
,Maric,Coonambella,"coor'gool, mither mith'er, n'goom by",,"dil'goor'a'ry, ma'gay'ra, ool'ba",,"bubba laballa, coo'ree",way,,,,
y,Yuin-Kuri,Darkinyung,"minig, naru",barag,,,,,,,,
y,Yolngu,Dhangu,gurrŋan('),gapaṉ,miku',ḏuŋgul,dhulmu,,,,,
y,Yuin-Kuri,Dharawal,"burawara, nganda","ban, warrawarra","munja munja, ngurung ngurung",,,,,,,
y,Yuin-Kuri,Dharuk,nganda,dyirra,mudjil,yarragal,bulgaga,,,,,
y,Maric,Dharumbal,guru,bura,tarir,kalmur ~ kalmurkalmur,"moalmoal, wuralwural",,,,,
,Lower Murray,Dhudhuroa,dhayugilu,darrangarra,ngaya,,,,,,,
y,Yuin-Kuri,Dhurga,nVndaagun ,wari,manjamanja,,,,,,,
y,Yolngu,Dhuwal,mol,watharr,ratjpa,ḏuŋgul,dhulmu,,ḻarraṉi('),djirrtjirr,,
y,Yolngu,Dhuwala,gurrŋan(') ,watharr,ṉipiṉ ,buthalak,,milkuminy ,gunhdhirr(‘),guray,,
y,Karnic,Diyari,maru,warru,marralyi,kakoo,kulyakulya,,,karoo,,
y,Paman,Djabugay,bugaa,gaba,galbal ,marrga-marrga,gurri,ngurbam,gaya,,,
y,Yolngu,Djapu,mol,gaywaraŋu ,miku(') ,buthalak,,,guṉḏirr('),djirrtjirr,,
y,Yolngu,Djinang,mul,bardjining,burdiburdigili,"butjalak, guringguringgili ",gumiring,marri djayaḻ mulngi,,,guringguringgili,
y,Durubulic,Durubul,gurun,buba,gudjin ,,,,,,,
y,Waka Kabi,Duungidjawu,miyarr,muranjŋa,guyiŋ,,,,,,,
,Arandic,EasternArrernte,"urrperle, urterrpe","arrerlkeme, mperlkere ","athekeke, athetheke, ntere-ntere, rntere-rntere",arlperrtye ,atherrke-atherrke ,"alkere-alkere, urite, ","aturrpe, urlpmernte-urlpmernte",mpwelkere,utyenye,
y,CNSW,Gamilaraay,buluuy,balaa,guwi,gidjirrgidjirr,gawarrawarr,gawarrawarr,dhuRa,dhadhaal,pampul,
y,Maric,Gangulu,guradgurad,budhu/budha,guma,,gawayi,midha,nayinayi,,,
,Karnic,Garlali,thaɹagurru,kupa,diyaɾdiyarri,,kanda,,,,,
,Bandjalangic,Githabul,ŋagu,gibira,gudhihn,widhagaŋ,gaygum,,,gidhur,baraŋayil,
,Yolngu,Golpa,gurrŋan',gaywaraŋu,gulaŋ-gulaŋ,buthalak,milkuminy ,mulkuminy,rawak ,,,
y,Waka Kabi,GoorengGooreng,noolgee,bural,gutchoo,,,,,,,
