ID,Name,Glottocode
Adnyamathanha,Adnyamathanha,adny1235
AghuTharnggala,AghuTharnggala,aghu1254
Alyawarr,Alyawarr,alya1239
Antekerrepenh,Antekerrepenh,ande1247
Arabana,Arabana,arab1267
Awabakal,Awabakal,awab1243
Ayapathu,Ayapathu,ayab1239
Badimaya,Badimaya,badi1246
Badjiri,Badjiri,badj1244
Bandjalang,Bandjalang,band1358
BarrowPoint,BarrowPoint,barr1247
Batyala,Batyala,baty1234
BidjaraGungabula,BidjaraGungabula,sout2765
Bilinarra,Bilinarra,bili1250
Biri,Biri,biri1256
Birrpayi,Birrpayi,birr1241
Bularnu,Bularnu,bula1255
Coobenpil,Coobenpil,yaga1256
Coonambella,Coonambella,wulg1239
Darkinyung,Darkinyung,hawk1239
Dhangu,Dhangu,dhan1270
Dharawal,Dharawal,thur1254
Dharuk,Dharuk,sydn1236
Dharumbal,Dharumbal,dhar1248
Dhudhuroa,Dhudhuroa,dhud1236
Dhurga,Dhurga,dhur1239
Dhuwal,Dhuwal,dhuw1249
Dhuwala,Dhuwala,dhuw1248
Diyari,Diyari,dier1241
Djabugay,Djabugay,dyaa1242
Djapu,Djapu,djap1238
Djinang,Djinang,djin1253
Durubul,Durubul,yaga1256
Duungidjawu,Duungidjawu,duun1241
EasternArrernte,EasternArrernte,east2379
Gamilaraay,Gamilaraay,gami1243
Gangulu,Gangulu,gang1268
Garlali,Garlali,kala1380
Githabul,Githabul,cond1242
Golpa,Golpa,yann1237
GoorengGooreng,GoorengGooreng,gure1255
GuguBadhun,GuguBadhun,gugu1253
Gumatj,Gumatj,guma1253
Gumbaynggir,Gumbaynggir,kumb1268
Gundungurra,Gundungurra,nort2760
Gunggari,Gunggari,kung1258
Gunya,Gunya,guny1241
Gupapuyngu,Gupapuyngu,gupa1247
Gurindji,Gurindji,guri1247
GuuguYimidhirr,GuuguYimidhirr,gugu1255
Guwamu,Guwamu,guwa1243
Guwar,Guwar,guwa1242
Guyani,Guyani,guya1249
Ikarranggal,Ikarranggal,ikar1243
